1	测试怪	Monster001	1000	测试怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2	测试怪	Monster014	1000	测试怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
3	测试怪	Monster017	1000	测试怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
4	测试怪	Monster1001	1000	测试怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
5	测试怪	Monster1002	1000	测试怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2001	浮游体	M2001	500	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2002	海星	M2002	800	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2003	魔手	M2003	1000	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2004	小丑（蓝）	M2004	800	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2005	寄生虫	M2005	1000	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2006	无腿小丑	M2006	1000	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2007	毒牙	M2007	1000	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2008	小丑（橙）	M2008	800	小怪	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2020	生长细胞	M2020	1000	场景物件	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2021	生长细胞2	M2021	1000	场景物件	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2022	生长细胞3	M2022	1000	场景物件	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2023	细胞血管	M2023	1000	场景物件	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2024	神经元	M2024	1000	场景物件	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
2025	增值细胞	M2025	1000	场景物件	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
1001	大脑	M1001	1000	boss	1	1	0	0	2	100	10	10	100	1000	0	0	100	0	1000	0	10	100	0	0
